"GeneratedAtUtc","ComputerName","OverallStatus","CheckName","Category","Target","Status","Message","ObservedValue","WarningThreshold","CriticalThreshold","Recommendation","CheckDurationMs","Error","EvidenceJson"
"2026-07-23T08:39:53.5741674Z","SRV-APP-01","Critical","Disk","Capacity","C:","Healthy","365.51 GB free (38.35%) of 953.03 GB on C: (unlabeled).","38.35% / 365.51 GB","<= 20% or <= 20 GB","<= 10% or <= 10 GB","","35","","{""DeviceId"":""C:"",""VolumeName"":"""",""FileSystem"":""NTFS"",""SizeBytes"":1023303217152,""FreeBytes"":392462323712,""FreeGB"":365.51,""FreePercent"":38.35}"
"2026-07-23T08:39:53.5741674Z","SRV-APP-01","Critical","Memory","Capacity","Physical memory","Healthy","8.29 GB available (26.35%) of 31.47 GB physical memory.","26.35%","<= 20% available or >= 90% commit","<= 10% available or >= 95% commit","","385.41","","{""TotalBytes"":33785393152,""AvailableBytes"":8902356992,""TotalGB"":31.47,""AvailableGB"":8.29,""AvailablePercent"":26.35,""CommitLimitGB"":40.97,""CommitUsedGB"":31.75,""CommitUsedPercent"":77.51,""PageFileAllocatedMB"":null,""PageFileUsedMB"":null}"
"2026-07-23T08:39:53.5741674Z","SRV-APP-01","Critical","Cpu","Capacity","Processor","Healthy","Average CPU load 20.3% across 3 sample(s).","20.3%",">= 85%",">= 95%","","5663.76","","{""AveragePercent"":20.3,""Samples"":[12,25,24],""SampleCount"":3,""LogicalProcessors"":22,""TopProcesses"":[{""Name"":""Memory Compression"",""Id"":4216,""WorkingSetMB"":1928.7},{""Name"":""sqlservr"",""Id"":24088,""WorkingSetMB"":767.9},{""Name"":""w3wp"",""Id"":15272,""WorkingSetMB"":674},{""Name"":""svchost"",""Id"":30628,""WorkingSetMB"":574.4},{""Name"":""w3wp"",""Id"":31544,""WorkingSetMB"":494.5}]}"
"2026-07-23T08:39:53.5741674Z","SRV-APP-01","Critical","Uptime","Lifecycle","Operating system","Healthy","0.12 days since last boot (2026-07-23 07:43:46 +02:00).","0.12 days",">= 45 days",">= 90 days","","338.15","","{""LastBootTime"":""2026-07-23T05:43:46.5000000Z"",""UptimeDays"":0.12,""UptimeHours"":2.93}"
"2026-07-23T08:39:53.5741674Z","SRV-APP-01","Critical","PendingReboot","Lifecycle","Operating system","Healthy","No supported pending-reboot indicators were detected.","False","Any supported reboot indicator","","","147.46","","{""Pending"":false,""Reasons"":[],""ExcludedReasons"":[]}"
"2026-07-23T08:39:53.5741674Z","SRV-APP-01","Critical","PatchAge","Lifecycle","Operating system","Healthy","Last update (KB5094126) was installed 34 day(s) ago on 2026-06-19.","34.44 days",">= 45 days",">= 90 days","","2379.37","","{""LastPatchDate"":""2026-06-18T22:00:00.0000000Z"",""LastPatchId"":""KB5094126"",""DaysSince"":34.44,""LastBootTime"":""2026-07-23T05:43:46.5000000Z"",""AwaitingReboot"":false,""TotalPatches"":7,""RecentPatches"":[{""HotFixId"":""KB5094126"",""Description"":""Security Update"",""InstalledOn"":""2026-06-18T22:00:00.0000000Z""},{""HotFixId"":""KB5094135"",""Description"":""Security Update"",""InstalledOn"":""2026-06-17T22:00:00.0000000Z""},{""HotFixId"":""KB5087051"",""Description"":""Update"",""InstalledOn"":""2026-05-21T22:00:00.0000000Z""},{""HotFixId"":""KB5054156"",""Description"":""Update"",""InstalledOn"":""2026-04-26T22:00:00.0000000Z""},{""HotFixId"":""KB5054273"",""Description"":""Update"",""InstalledOn"":""2025-08-05T22:00:00.0000000Z""}]}"
"2026-07-23T08:39:53.5741674Z","SRV-APP-01","Critical","Services","Availability","EventLog","Healthy","Service 'Windows Event Log' is Running.","Running","","Expected: Running","","678.89","","{""Name"":""EventLog"",""DisplayName"":""Windows Event Log"",""Status"":""Running"",""ExpectedStatus"":""Running"",""StartMode"":""Auto"",""Exists"":true}"
"2026-07-23T08:39:53.5741674Z","SRV-APP-01","Critical","Services","Availability","Winmgmt","Healthy","Service 'Windows Management Instrumentation' is Running.","Running","","Expected: Running","","678.89","","{""Name"":""Winmgmt"",""DisplayName"":""Windows Management Instrumentation"",""Status"":""Running"",""ExpectedStatus"":""Running"",""StartMode"":""Auto"",""Exists"":true}"
"2026-07-23T08:39:53.5741674Z","SRV-APP-01","Critical","ScheduledTasks","Availability","Scheduled tasks","Warning","2 of 17 evaluated scheduled task(s) failed their last run.","2",">= 1 failed task(s)",">= 5 failed task(s)","Check the task result codes and last run times, then re-run or repair the failing tasks.","2652.36","","{""FailedCount"":2,""EvaluatedCount"":17,""FailedTasks"":[{""Task"":""\\Contoso\\Nightly Database Backup"",""LastTaskResult"":""0x8004EE04"",""LastRunTime"":""2026-07-23T05:48:50.0000000Z""},{""Task"":""\\Contoso\\App Log Archiver"",""LastTaskResult"":""0x8007042B"",""LastRunTime"":""2026-06-25T10:03:27.0000000Z""}],""Truncated"":false}"
"2026-07-23T08:39:53.5741674Z","SRV-APP-01","Critical","Certificates","Security","CN=7d3f2a91-4c6b-4e8a-9f21-0b5d8c3e6a47, DC=3a9e1c25-7f4d-4b6e-8d02-c1f5a7b9e364 [5013B8D9A2C4]","Healthy","Auto-rotating certificate (total lifetime 1 day(s)) is valid until 2026-07-24.","0.88 days","<= 30 days","<= 14 days or expired","","33.18","","{""Subject"":""CN=7d3f2a91-4c6b-4e8a-9f21-0b5d8c3e6a47, DC=3a9e1c25-7f4d-4b6e-8d02-c1f5a7b9e364"",""Issuer"":""CN=MS-Organization-P2P-Access [2025]"",""Thumbprint"":""9A41C7D2E85F0B36A19D64C82E7F5013B8D9A2C4"",""SerialNumber"":""00A3D18E5B92C7F4066D31B8E9A250C471"",""StorePath"":""Cert:\\LocalMachine\\My"",""NotBefore"":""2026-07-23T05:39:22.0000000Z"",""NotAfter"":""2026-07-24T05:44:22.0000000Z"",""DaysRemaining"":0.88,""TotalLifetimeDays"":1,""Rotating"":true,""HasPrivateKey"":true}"
